Key,Desc,Default,English
Demonic,,Demonic,Demonic
Demote,,Demote,Demote
Description,,Description,Description
Dexterity Games,,Dexterity Games,Dexterity Games
Diamonds,,Diamonds,Diamonds
Dice,,Dice,Dice
Dice Games,,Dice Games,Dice Games
Die,,Die,Die
Diffuse-Image,,Diffuse/Image,Diffuse/Image
Digital,,Digital,Digital
Digital Clock,,Digital Clock,Digital Clock
Direct Connect,,Direct Connect,Direct Connect
Direction,,Direction,Direction
Disable,,Disable,Disable
Disable Interactions,,Disable Interactions,Disable Interactions
Disable Unused,,Disable Unused,Disable Unused
Disable if you wish to control the dimensions of the grid independently.,,Disable if you wish to control the dimensions of the grid independently.,Disable if you wish to control the dimensions of the grid independently.
Disabled,,Disabled,Disabled
Disables interactions when it's not a color's turn.,,Disables interactions when it's not a color's turn.,Disables interactions when it's not a color's turn.
Disconnected,,Disconnected,Disconnected
Display Object Drop Position,,Display Object Drop Position,Display Object Drop Position
Display VR Players,,Display VR Players,Display VR Players
Display the chat UI.,,Display the chat UI.,Display the chat UI.
Display the on screen notes on the right side of the screen.,,Display the on screen notes on the right side of the screen.,Display the on screen notes on the right side of the screen.
Display the on-screen keyboard if you are playing in VR.,,Display the on-screen keyboard if you are playing in VR.,Display the on-screen keyboard if you are playing in VR.
Display the on-screen keyboard.,,Display the on-screen keyboard.,Display the on-screen keyboard.
Display the player names on the top right.,,Display the player names on the top right.,Display the player names on the top right.
Display the top menu bar UI.,,Display the top menu bar UI.,Display the top menu bar UI.
Display tools menu on the top left.,,Display tools menu on the top left.,Display tools menu on the top left.
Distance,,Distance,Distance
Do not show the on-screen keyboard.,,Do not show the on-screen keyboard.,Do not show the on-screen keyboard.
Do you want the puzzle image to be on the board as you are building the puzzle? This makes the puzzle easier.,,Do you want the puzzle image to be on the board as you are building the puzzle? This makes the puzzle easier.,Do you want the puzzle image to be on the board as you are building the puzzle? This makes the puzzle easier.
Do you want the tiles to stack like poker chips?,,Do you want the tiles to stack like poker chips?,Do you want the tiles to stack like poker chips?
Do you want the tokens to stack like poker chips?,,Do you want the tokens to stack like poker chips?,Do you want the tokens to stack like poker chips?
Do you want this token to stand up like a meeple instead of being flat like a tile?,,Do you want this token to stand up like a meeple instead of being flat like a tile?,Do you want this token to stand up like a meeple instead of being flat like a tile?
Documents,,Documents,Documents
Does each card have a different card back? If so use the same template for the face cards as you do for the backs.,,Does each card have a different card back? If so use the same template for the face cards as you do for the backs.,Does each card have a different card back? If so use the same template for the face cards as you do for the backs.
Dominoes,,Dominoes,Dominoes
Don't show servers that are full.,,Don't show servers that are full.,Don't show servers that are full.
Don't show servers that have passwords.,,Don't show servers that have passwords.,Don't show servers that have passwords.
Double-Click Container Pickup,,Double-Click Container Pickup,Double-Click Container Pickup
Down,,Down,Down
Downtown,,Downtown,Downtown
Drag,,Drag,Drag
Drag Selectable,,Drag Selectable,Drag Selectable
Drag left or right to increase or decrease the value.,,Drag left or right to increase or decrease the value.,Drag left or right to increase or decrease the value.
Drag the colors around to determine the turn order. Custom turns must be active.,,Drag the colors around to determine the turn order. Custom turns must be active.,Drag the colors around to determine the turn order. Custom turns must be active.
Drag your finger on the table or background.,,Drag your finger on the table or background.,Drag your finger on the table or background.
Dragonide,,Dragonide,Dragonide
Draw,,Draw,Draw
Drawing,,Drawing,Drawing
Drop,,Drop,Drop
Drop Last Grabbed,,Drop Last Grabbed,Drop Last Grabbed
Dungeons,,Dungeons,Dungeons
Dynamic Friction,,Dynamic Friction,Dynamic Friction
DynamicAmaranth,,DynamicAmaranth,DynamicAmaranth
DynamicAmaranthFixedNumerals,,DynamicAmaranthFixedNumerals,DynamicAmaranthFixedNumerals
DynamicInconsolata,,DynamicInconsolata,DynamicInconsolata
EASTWARD,,Eastward,Eastward
END TURN,,End Turn,End Turn
ERASE_DRAWN_LINES,,Erase Drawn Lines,Erase Drawn Lines
ERASE_YOUR_DRAWN_LINES,,Erase your drawn lines.,Erase your drawn lines.
Edge,,Edge,Edge
Edit,,Edit,Edit
Edit Note,,Edit Note,Edit Note
Edit Tags,,Edit Tags,Edit Tags
Edit Tags...,,Edit Tags...,Edit Tags...
Edit tags on fog of war zone.,,Edit tags on fog of war zone.,Edit tags on fog of war zone.
Edit tags on hand zone.,,Edit tags on hand zone.,Edit tags on hand zone.
Edit tags on hidden zone.,,Edit tags on hidden zone.,Edit tags on hidden zone.
Edit tags on layout zone.,,Edit tags on layout zone.,Edit tags on layout zone.
Edit tags on randomize zone.,,Edit tags on randomize zone.,Edit tags on randomize zone.
Edit tags on scripting zone.,,Edit tags on scripting zone.,Edit tags on scripting zone.
Edit tags on selected components.,,Edit tags on selected components.,Edit tags on selected components.
Edit tags on this snap point.,,Edit tags on this snap point.,Edit tags on this snap point.
Edit tags snap points are created with.,,Edit tags snap points are created with.,Edit tags snap points are created with.
Empty Game,,Empty Game,Empty Game
Enable,,Enable,Enable
Enable collision between bodies connected with the joint.,,Enable collision between bodies connected with the joint.,Enable collision between bodies connected with the joint.
Enable or disable card hands.,,Enable or disable card hands.,Enable or disable card hands.
Enable the Debug Adapter Protcol server. Enables Lua debugging in VSCode etc.,,Enable the Debug Adapter Protcol server. Enables Lua debugging in VSCode etc.,Enable the Debug Adapter Protcol server. Enables Lua debugging in VSCode etc.
Enhanced Base Precision,,Enhanced Base Precision,Enhanced Base Precision
Enter,,Enter,Enter
Enter Server Password,,Enter Server Password,Enter Server Password
Enter name of player {0},,Enter name of player {0},Enter name of player {0}
Enter value:,,Enter value:,Enter value:
Equator,,Equator,Equator
Erase,,Erase,Erase
Erase all drawn lines.,,Erase all drawn lines.,Erase all drawn lines.
Erase all drawn lines?,,Erase all drawn lines?,Erase all drawn lines?
Erase entire pixel drawing.,,Erase entire pixel drawing.,Erase entire pixel drawing.
Error storing theme (this should never happen!).,,Error storing theme (this should never happen!).,Error storing theme (this should never happen!).
Europe Proxy,,Europe Proxy,Europe Proxy
Everyone except the hand owner can see in hand.,,Everyone except the hand owner can see in hand.,Everyone except the hand owner can see in hand.
Evil Watcher,,Evil Watcher,Evil Watcher
Exact,,Exact,Exact
Exit Game,,Exit Game,Exit Game
Expand,,Expand,Expand
Export,,Export,Export
FACING_DOWN,,Become Face Down,Become Face Down
FACING_KEEP,,Do Not Change,Do Not Change
FACING_TIPPED,,Group Is Tipped,Group Is Tipped
FACING_UP,,Become Face Up,Become Face Up
FAILED_TO_WRITE_FILE,,Failed to write file,Failed to write file
FIFO,,FIFO,FIFO
FIXED,,Fixed,Fixed
FONT,,Font,Font
Face,,Face,Face
"Face picture must be in proper deck template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here. 4096x4096 recommended.",,"Face picture must be in proper deck template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here. 4096x4096 recommended.","Face picture must be in proper deck template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here. 4096x4096 recommended."
Face-Down,,Face-Down,Face-Down
Face-Up,,Face-Up,Face-Up
Facing,,Facing,Facing
Family Games,,Family Games,Family Games
Fast-forward Time,,Fast-forward Time,Fast-forward Time
Field,,Field,Field
Field of View,,Field of View,Field of View
Field of View of Fog of War revealed.,,Field of View of Fog of War revealed.,Field of View of Fog of War revealed.
Figurine,,Figurine,Figurine
Figurines,,Figurines,Figurines
Filename,,Filename,Filename
Filter by Tags:,,Filter by Tags:,Filter by Tags:
Filtered Public Servers - All Public Servers,,Filtered Public Servers / All Public Servers,Filtered Public Servers / All Public Servers
Filters,,Filters,Filters
Find and join a server hosted by another player.,,Find and join a server hosted by another player.,Find and join a server hosted by another player.
First in first out or a queue.,,First in first out or a queue.,First in first out or a queue.
Fixed Joint,,Fixed Joint,Fixed Joint
Flick,,Flick,Flick
Flicking,,Flicking,Flicking
Flicks in air when thrown.,,Flicks in air when thrown.,Flicks in air when thrown.
Flip,,Flip,Flip
Flip Other Axis,,Flip Other Axis,Flip Other Axis
Flip the table,,Flip the table?,Flip the table?
Floor,,Floor,Floor
Floor Of Mist,,Floor Of Mist,Floor Of Mist
Fly Down,,Fly Down,Fly Down
Fly Up,,Fly Up,Fly Up
Fly Up & Down,,Fly Up & Down,Fly Up & Down
Fog Height,,Fog Height,Fog Height
Fog of War,,Fog of War,Fog of War
Fog of War Tags,,Fog of War Tags,Fog of War Tags
Folder Name,,Folder Name,Folder Name
Font Size,,Font Size,Font Size
Force,,Force,Force
Forest,,Forest,Forest
"Found {0} matching Custom Object(s), do you also want to update them to match?",,"Found {0} matching Custom Object(s), do you also want to update them to match?","Found {0} matching Custom Object(s), do you also want to update them to match?"
Free,,Free,Free
Free Camera,,Free Camera,Free Camera
Freeze the object in place stopping all physics interactions.,,Freeze the object in place stopping all physics interactions.,Freeze the object in place stopping all physics interactions.
Fresnel Strength,,Fresnel Strength,Fresnel Strength
Friends,,Friends,Friends
Friends Only,,Friends Only,Friends Only
Front Image,,Front Image,Front Image
Full,,Full,Full
Full Size Textures,,Full Size Textures,Full Size Textures
Fullscreen,,Fullscreen,Fullscreen
GENERAL,,General,General
GM (Black) players' pointer will be hidden in area.,,GM (Black) players' pointer will be hidden in area.,GM (Black) players' pointer will be hidden in area.
GM Notes (only visible to Black),,GM Notes (only visible to Black),GM Notes (only visible to Black)
GRAPHICS,,Graphics,Graphics
GROUP_CHAT,,Group Chat,Group Chat
Game,,Game,Game
Game Data,,Game Data,Game Data
Game Keys,,Game Keys,Game Keys
Game Name,,Game Name,Game Name
Game Tags,,Game Tags,Game Tags
Game Types:,,Game Types:,Game Types:
Game Volume,,Game Volume,Game Volume
Games,,Games,Games
Games Add To Context Menus,,Games Add To Context Menus,Games Add To Context Menus
Games Can Show Controls UI,,Games Can Show Controls UI,Games Can Show Controls UI
Generic,,Generic,Generic
Get current rotation.,,Get current rotation.,Get current rotation.
Ghoul,,Ghoul,Ghoul
Giant Rat,,Giant Rat,Giant Rat
Giant Viper,,Giant Viper,Giant Viper
Gizmo,,Gizmo,Gizmo
Gizmo Tool Size,,Gizmo Tool Size,Gizmo Tool Size
Glass,,Glass,Glass
Global,,Global,Global
Globally controls all object snapping.,,Globally controls all object snapping.,Globally controls all object snapping.
Glue,,Glue,Glue
Go,The game,Go,Go
Go back 10 seconds in time.,,Go back 10 seconds in time.,Go back 10 seconds in time.
Go back and forward in time to fix any mistakes.,,Go back and forward in time to fix any mistakes.,Go back and forward in time to fix any mistakes.
Go back and forward in time to fix any mistakes. You can also use the arrows at the top menu to rewind and forward time.,,Go back and forward in time to fix any mistakes. You can also use the arrows at the top menu to rewind and forward time.,Go back and forward in time to fix any mistakes. You can also use the arrows at the top menu to rewind and forward time.
Go forward 10 seconds in time.,,Go forward 10 seconds in time.,Go forward 10 seconds in time.
Goblin,,Goblin,Goblin
Gold,,Gold,Gold
Gold 1000,,Gold 1000,Gold 1000
Golem,,Golem,Golem
Good! Now time to add that card to the deck.,,Good! Now time to add that card to the deck.,Good! Now time to add that card to the deck.
Grab,,Grab,Grab
Grab - Selection,,Grab / Selection,Grab / Selection
"Grab one of the objects, and then use (Pad Left) or (Pad Right) to rotate it.",,"Grab one of the objects,
and then use <Pad Left> or <Pad Right> to rotate it.","Grab one of the objects,
and then use <Pad Left> or <Pad Right> to rotate it."
"Grab or mouse over one of the objects, and then use (Q) or (E) to rotate it.",,"Grab or mouse over one of the objects,
and then use <Q> or <E> to rotate it.","Grab or mouse over one of the objects,
and then use <Q> or <E> to rotate it."
Grabbing Hides Gem,,Grabbing Hides Gem,Grabbing Hides Gem
Gradient,,Gradient,Gradient
Gradient Colors,,Gradient Colors,Gradient Colors
Gravity,,Gravity,Gravity
Great camera work! Time to rotate an object.,,Great camera work! Time to rotate an object.,Great camera work! Time to rotate an object.
Great for checking a dice roll or reading a card.,,Great for checking a dice roll or reading a card.,Great for checking a dice roll or reading a card.
Great shuffling! Now let's put a card in our hand. Drop a single card above the white name on the table. When a card is in your hand other players cannot see what it is.,,"Great shuffling! Now let's put a card in our hand.
Drop a single card above the white name on the table.
When a card is in your hand other players cannot see what it is.","Great shuffling! Now let's put a card in our hand.
Drop a single card above the white name on the table.
When a card is in your hand other players cannot see what it is."
Great stacking! Now pull one card from the deck.,,Great stacking! Now pull one card from the deck.,Great stacking! Now pull one card from the deck.
Green,,Green,Green
Green 50,,Green 50,Green 50
Green Triangle,,Green Triangle,Green Triangle
Grey,,Grey,Grey
Grey (All),,Grey (All),Grey (All)
Grey (Spectator),,Grey (Spectator),Grey (Spectator)
Greyout Visited,,Greyout Visited,Greyout Visited
Grid,,Grid,Grid
Grid Projection,,Grid Projection,Grid Projection
Grid Size,,Grid Size,Grid Size
Grid lines are drawn on the surface of the table.,,Grid lines are drawn on the surface of the table.,Grid lines are drawn on the surface of the table.
Grid will be projected onto the table and any object that has grid projection turned on.,,Grid will be projected onto the table and any object that has grid projection turned on.,Grid will be projected onto the table and any object that has grid projection turned on.
Griffon,,Griffon,Griffon
Ground,,Ground,Ground
Group,,Group,Group
Grouping,,Grouping,Grouping
Groups,,Groups,Groups
HINGE,,Hinge,Hinge
HOST COMMANDS,,Host Commands,Host Commands
Hand Component Hotkey Draw,,Hand Component Hotkey Draw,Hand Component Hotkey Draw
Hand Minimized Size,,Hand Minimized Size,Hand Minimized Size
Hand View,,Hand View,Hand View
Hand View Angle,,Hand View Angle,Hand View Angle
Hand View Scale,,Hand View Scale,Hand View Scale
Hand Zone Tags,,Hand Zone Tags,Hand Zone Tags
Hands,,Hands,Hands
Hands are areas near names on the table that can hold cards and dominoes.,,Hands are areas near names on the table that can hold cards and dominoes.,Hands are areas near names on the table that can hold cards and dominoes.
Hands not used by a player will not be enabled.,,Hands not used by a player will not be enabled.,Hands not used by a player will not be enabled.
Hearts,,Hearts,Hearts
Height,,Height,Height
Help,,Help,Help
Help Menu,,Help Menu,Help Menu
Heroes,,Heroes,Heroes
Hex,,Hex,Hex
Hex (Rounded),,Hex (Rounded),Hex (Rounded)
Hex Horizontal,,Hex Horizontal,Hex Horizontal
Hex Rotated,,Hex Rotated,Hex Rotated
Hex Vertical,,Hex Vertical,Hex Vertical
Hexagon,,Hexagon,Hexagon
Hidden,,Hidden,Hidden
Hidden Zone Hide Opacity,,Hidden Zone Hide Opacity,Hidden Zone Hide Opacity
Hidden Zone Show Opacity,,Hidden Zone Show Opacity,Hidden Zone Show Opacity
Hidden Zone Tags,,Hidden Zone Tags,Hidden Zone Tags
Hide Face Down,,Hide Face Down,Hide Face Down
Hide Full,,Hide Full,Hide Full
Hide GM Pointer,,Hide GM Pointer,Hide GM Pointer
Hide GUI,,Hide GUI,Hide GUI
Hide Hand,,Hide Hand,Hide Hand
Hide Locked,,Hide Locked,Hide Locked
Hide Objects,,Hide Objects,Hide Objects
Hide Pointers,,Hide Pointers,Hide Pointers
Hiding,,Hiding,Hiding
Hiding objects will be reversed so everyone but the color of the area can see inside.,,Hiding objects will be reversed so everyone but the color of the area can see inside.,Hiding objects will be reversed so everyone but the color of the area can see inside.
High,,High,High
High Complexity,,High Complexity,High Complexity
Hinge Joint,,Hinge Joint,Hinge Joint
Hold (Alt) while mousing over an object.,,Hold <Alt> while mousing over an object.,Hold <Alt> while mousing over an object.
Hold (Left Bumper) while hovering over an object.,,Hold <Left Bumper> while hovering over an object.,Hold <Left Bumper> while hovering over an object.
Hold ({0}) down for a few seconds.,,Hold <{0}> down for a few seconds.,Hold <{0}> down for a few seconds.
Hold ({0}) on both controllers. Then move your hands closer or further apart. This will scale you up and down!,,"Hold <{0}> on both controllers.
Then move your hands closer or further apart.
This will scale you up and down!","Hold <{0}> on both controllers.
Then move your hands closer or further apart.
This will scale you up and down!"
Hold ({0}) then drag yourself around.,,Hold <{0}> then drag yourself around.,Hold <{0}> then drag yourself around.
Hold an object then press (A) on another object.,,Hold an object then press <A> on another object.,Hold an object then press <A> on another object.
Hold an object then press (Right Mouse) or (T) on another object.,,Hold an object then press <Right Mouse> or <T> on another object.,Hold an object then press <Right Mouse> or <T> on another object.
Hold down (Right Mouse Button) and move your mouse.,,Hold down <Right Mouse Button> and move your mouse.,Hold down <Right Mouse Button> and move your mouse.
Hold right mouse button to rotate your camera.,,Hold right mouse button to rotate your camera.,Hold right mouse button to rotate your camera.
Hold the key and nudge push objects with your pointer.,,Hold the <N> key and nudge/push objects with your pointer.,Hold the <N> key and nudge/push objects with your pointer.
Hold the key and nudge-push objects with your pointer.,,Hold the key and nudge/push objects with your pointer.,Hold the key and nudge/push objects with your pointer.
Holding the right mouse button will freely move your camera around.,,Holding the right mouse button will freely move your camera around.,Holding the right mouse button will freely move your camera around.
Horizontal,,Horizontal,Horizontal
Host,,Host,Host
Host Server,,Host Server,Host Server
Host a game and have other players join you.,,Host a game and have other players join you.,Host a game and have other players join you.
Hotseat,,Hotseat,Hotseat
Hotseat: Ask For Names,,Hotseat: Ask For Names,Hotseat: Ask For Names
Hotseat: Confirm Turn Start,,Hotseat: Confirm Turn Start,Hotseat: Confirm Turn Start
Hotseat: Delay Between Turns,,Hotseat: Delay Between Turns,Hotseat: Delay Between Turns
Hotseat: Reset Camera On Turn,,Hotseat: Reset Camera On Turn,Hotseat: Reset Camera On Turn
Hotseat: Show Turn Button,,Hotseat: Show Turn Button,Hotseat: Show Turn Button
Hover Highlight,,Hover Highlight,Hover Highlight
Hover Tooltips,,Hover Tooltips,Hover Tooltips
"Hover or hold an RPG figurine and press 1, 2, or 3 to see the different actions. You can also activate these in the Contextual Menu.",,"Hover or hold an RPG figurine and press 1, 2, or 3 to see the different actions. You can also activate these in the Contextual Menu.","Hover or hold an RPG figurine and press 1, 2, or 3 to see the different actions. You can also activate these in the Contextual Menu."
Hover or hold an object and press L to lock in place. You can also do this in the Contextual Menu.,,Hover or hold an object and press L to lock in place. You can also do this in the Contextual Menu.,Hover or hold an object and press L to lock in place. You can also do this in the Contextual Menu.
Hover or hold an object and press the R key to raise it continuously. This can also be used to quickly roll dice and shuffle cards.,,Hover or hold an object and press the R key to raise it continuously. This can also be used to quickly roll dice and shuffle cards.,Hover or hold an object and press the R key to raise it continuously. This can also be used to quickly roll dice and shuffle cards.
Hover over an object you wish to place beneath another and press the key. Great for layering objects under mats.,,Hover over an object you wish to place beneath another and press the key. Great for layering objects under mats.,Hover over an object you wish to place beneath another and press the key. Great for layering objects under mats.
Hover over dice-decks & type a number to show-draw that amount.,,Hover over dice/decks & type a number to show/draw that amount.,Hover over dice/decks & type a number to show/draw that amount.
Hover over each item in this help menu to bring up more info.,,Hover over each item in this help menu to bring up more info.,Hover over each item in this help menu to bring up more info.
Hover over the die and press (Pad Right).,,Hover over the die and press <Pad Right>.,Hover over the die and press <Pad Right>.
Hovered Object,,Hovered Object,Hovered Object
"How accurate it will try to trace your image. Lower = more accurate & expensive, Higher = less accurate.",,"How accurate it will try to trace your image. Lower = more accurate & expensive, Higher = less accurate.","How accurate it will try to trace your image. Lower = more accurate & expensive, Higher = less accurate."
How bouncy is the surface? A value of 0 will not bounce. A value of 1 will bounce without any loss of energy.,,How bouncy is the surface? A value of 0 will not bounce. A value of 1 will bounce without any loss of energy.,How bouncy is the surface? A value of 0 will not bounce. A value of 1 will bounce without any loss of energy.
How fast all objects fall (Default = 0.5).,,How fast all objects fall (Default = 0.5).,How fast all objects fall (Default = 0.5).
How high off the surface objects will be held.,,How high off the surface objects will be held.,How high off the surface objects will be held.
How many cards tall is your deck? Default template is 7.,,How many cards tall is your deck? Default template is 7.,How many cards tall is your deck? Default template is 7.
How many cards wide is your deck? Default template is 10.,,How many cards wide is your deck? Default template is 10.,How many cards wide is your deck? Default template is 10.
"How mirror-like the object is. Higher = Mirror, Lower = Dull.",,"How mirror-like the object is. Higher = Mirror, Lower = Dull.","How mirror-like the object is. Higher = Mirror, Lower = Dull."
"How much air resistance affects the object when moving from forces. 0 means no air resistance, and infinity makes the object stop moving immediately.",,"How much air resistance affects the object when moving from forces. 0 means no air resistance, and infinity makes the object stop moving immediately.","How much air resistance affects the object when moving from forces. 0 means no air resistance, and infinity makes the object stop moving immediately."
How much air resistance affects the object when rotating from torque. 0 means no air resistance. Note that you cannot make the object stop rotating just by setting its Angular Drag to infinity.,,How much air resistance affects the object when rotating from torque. 0 means no air resistance. Note that you cannot make the object stop rotating just by setting its Angular Drag to infinity.,How much air resistance affects the object when rotating from torque. 0 means no air resistance. Note that you cannot make the object stop rotating just by setting its Angular Drag to infinity.
How much physics you want in your games.,,How much physics you want in your games.,How much physics you want in your games.
How strong reflections are on shiny objects.,,How strong reflections are on shiny objects.,How strong reflections are on shiny objects.
How strong the ambient or mood lighting is.,,How strong the ambient or mood lighting is.,How strong the ambient or mood lighting is.
Hue,,Hue,Hue
Hydra,,Hydra,Hydra
IMPORT,,Import,Import
INFO,,Info,Info
INTERFACE,,Interface,Interface
"If enabled, the object is affected by gravity.",,"If enabled, the object is affected by gravity.","If enabled, the object is affected by gravity."
If freeSpin is enabled the motor will only accelerate but never slow down.,,If freeSpin is enabled the motor will only accelerate but never slow down.,If freeSpin is enabled the motor will only accelerate but never slow down.
"If you need a bit more structure, then you can enable Turns so that everyone knows whose turn it is and when it s their own turn.",,"If you need a bit more structure, then you can enable Turns so that everyone knows whose turn it is and when it s their own turn.","If you need a bit more structure, then you can enable Turns so that everyone knows whose turn it is and when it s their own turn."
Ignore Fog Of War,,Ignore Fog Of War,Ignore Fog Of War
Image,,Image,Image
Image On Board,,Image On Board,Image On Board
Image URL,,Image URL,Image URL
"Image must be in proper dice template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here.",,"Image must be in proper dice template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here.","Image must be in proper dice template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here."
Import-Export,,Import/Export,Import/Export
Improves texture quality at angles. Recommended on unless starved for performance.,,Improves texture quality at angles. Recommended on unless starved for performance.,Improves texture quality at angles. Recommended on unless starved for performance.
In-Game,,In-Game,In-Game
Inch,,Inch,Inch
Inch Size,,Inch Size,Inch Size
Infinite,,Infinite,Infinite
Infinite Bag,,Infinite Bag,Infinite Bag
Inserts a timestamp before each message.,,Inserts a timestamp before each message.,Inserts a timestamp before each message.
Instant Refill,,Instant Refill,Instant Refill
InstantRefillTooltip,,"When enabled, if ever a group is picked up or removed the rest of the layout will trigger to fill in the gap.","When enabled, if ever a group is picked up or removed the rest of the layout will trigger to fill in the gap."
Instead of using the last slot on face image for the hidden card the back image will be used.,,Instead of using the last slot on face image for the hidden card the back image will be used.,Instead of using the last slot on face image for the hidden card the back image will be used.
Interface Click Threshold,,Interface Click Threshold,Interface Click Threshold
Interface Repeat Duration,,Interface Repeat Duration,Interface Repeat Duration
Invert,,Invert,Invert
Inverts the camera look directions.,,Inverts the camera look directions.,Inverts the camera look directions.
Invite,,Invite,Invite
Invite Friends,,Invite Friends,Invite Friends
Is your card sideways? This rotates ALT Zoom.,,Is your card sideways? This rotates ALT Zoom.,Is your card sideways? This rotates ALT Zoom.
Is your deck sideways? This rotates ALT Zoom.,,Is your deck sideways? This rotates ALT Zoom.,Is your deck sideways? This rotates ALT Zoom.
JIGSAW PUZZLES,,Jigsaw Puzzles,Jigsaw Puzzles
JOIN,,Join,Join
Jigsaw,,Jigsaw,Jigsaw
Join new Server Host?,,Join new Server Host?,Join new Server Host?
Joint,,Joint,Joint
Joint that locks two objects in place without creating a parent child relationship like the Attach tool. Right click the jointed object and click Joint to bring up the new menu.,,Joint that locks two objects in place without creating a parent child relationship like the Attach tool. Right click the jointed object and click Joint to bring up the new menu.,Joint that locks two objects in place without creating a parent child relationship like the Attach tool. Right click the jointed object and click Joint to bring up the new menu.
Joint that works just like it sounds a spring. Right click the jointed object and click Joint to bring up the new menu.,,Joint that works just like it sounds a spring. Right click the jointed object and click Joint to bring up the new menu.,Joint that works just like it sounds a spring. Right click the jointed object and click Joint to bring up the new menu.
Joint with door hinge like connection. Can even have motors. Right click the jointed object and click Joint to bring up the new menu.,,Joint with door hinge like connection. Can even have motors. Right click the jointed object and click Joint to bring up the new menu.,Joint with door hinge like connection. Can even have motors. Right click the jointed object and click Joint to bring up the new menu.
Joints,,Joints,Joints
Joker,,Joker,Joker
Jokers,,Jokers,Jokers
Joypad Emulation,,Joypad Emulation,Joypad Emulation
Keyboard,,Keyboard,Keyboard
Keyboard Single Digit Draw,,Keyboard Single Digit Draw,Keyboard Single Digit Draw
Kickstarter,,Kickstarter,Kickstarter
King,,King,King
King Cast Iron,,King Cast Iron,King Cast Iron
King Chrome,,King Chrome,King Chrome
King Dark,,King Dark,King Dark
King Light,,King Light,King Light
King Supporters,,King Supporters,King Supporters
Knight,,Knight,Knight
Knight Cast Iron,,Knight Cast Iron,Knight Cast Iron
Knight Chrome,,Knight Chrome,Knight Chrome
Knight Dark,,Knight Dark,Knight Dark
Knight Light,,Knight Light,Knight Light
Knight Supporters,,Knight Supporters,Knight Supporters
Kobold,,Kobold,Kobold
LAN,,LAN,LAN
LANGUAGE_BROWSE_TOOLTIP,,Find community translation mods on the Workshop.,Find community translation mods on the Workshop.
LANGUAGE_EXPORT_TOOLTIP,,Export current translation as a .csv file so that you can mod and upload it to the Workshop.,Export current translation as a .csv file so that you can mod and upload it to the Workshop.
LANGUAGE_HELP,,Change your language to the provided translations or create and use community created translations.,Change your language to the provided translations or create and use community created translations.
LANGUAGE_UPLOAD_TOOLTIP,,Upload the currently loaded translation to the Workshop.,Upload the currently loaded translation to the Workshop.
LATEST DLC NOW AVAILABLE!,,Latest DLC Now Available!,Latest DLC Now Available!
LEFT_THEN_DOWN,,Left / Down,Left / Down
LEFT_THEN_UP,,Left / Up,Left / Up
LIFO,,LIFO,LIFO
LIGHTING,,Lighting,Lighting
LUT,,LUT,LUT
LUT Contribution,,LUT Contribution,LUT Contribution
Label,,Label,Label
Language,,Language,Language
Language Code,,EN,EN
Laser Activation Threshold,,Laser Activation Threshold,Laser Activation Threshold
Laser Always On,,Laser Always On,Laser Always On
Laser Angled,,Laser Angled,Laser Angled
Laser Beam Opacity,,Laser Beam Opacity,Laser Beam Opacity
Laser Beam Thickness,,Laser Beam Thickness,Laser Beam Thickness
Laser Beam Visible,,Laser Beam Visible,Laser Beam Visible
Laser Dot Size,,Laser Dot Size,Laser Dot Size
Last in last out or a reverse queue.,,Last in last out or a reverse queue.,Last in last out or a reverse queue.
Layout,,Layout,Layout
Layout Zone,,Layout Zone,Layout Zone
Layout Zone Tags,,Layout Zone Tags,Layout Zone Tags
LayoutZoneAllowSwapping,,"When moving an object from one full group to another, the object you drop on will be moved to the original group.","When moving an object from one full group to another, the object you drop on will be moved to the original group."
LayoutZoneAlternateDirection,,"Objects added to a group will be aligned up or right, different from the preceding object in the group.  Used, for example, in trick-taking games to make counting easier.","Objects added to a group will be aligned up or right, different from the preceding object in the group.  Used, for example, in trick-taking games to make counting easier."
LayoutZoneCardsPerDeck,,Sets the size of decks made by the layout zone when it combines newly added cards.,Sets the size of decks made by the layout zone when it combines newly added cards.
LayoutZoneCombineIntoDecks,,Whether cards added to the zone should be combined into decks.  You may specify the number of cards per deck.,Whether cards added to the zone should be combined into decks.  You may specify the number of cards per deck.
LayoutZoneComponents,,"Which components will be added to the zone, and how.","Which components will be added to the zone, and how."
LayoutZoneDirection,,The directions the groups in the zone expand into.  This will determine the origin corner.,The directions the groups in the zone expand into.  This will determine the origin corner.
LayoutZoneFaceDown,,Face-Down components dropped on zone will be layed out.,Face-Down components dropped on zone will be layed out.
LayoutZoneFaceUp,,Face-Up components dropped on zone will be layed out.,Face-Up components dropped on zone will be layed out.
LayoutZoneFacing,,Determines whether newly added objects are turned face-up or face-down.,Determines whether newly added objects are turned face-up or face-down.
LayoutZoneGroupDirection,,The direction the objects within a group will expand into.,The direction the objects within a group will expand into.
