Key,Desc,Default,Chinese (Traditional)
Delete {0}? All files contained will stop working in any mods.,,Delete {0}? All files contained will stop working in any mods.,是否要刪除「{0}」呢？任何模組中的相關檔案將不再可用。
Delete {0}? This file will stop working in any mods.,,Delete {0}? This file will stop working in any mods.,是否要刪除「{0}」呢？任何模組中的此檔案將不再可用。
"Deletes objects from the table. Alternatively, you can press . This can also be done in the Contextual Menu.",,"Deletes objects from the table. Alternatively, you can press . This can also be done in the Contextual Menu.",刪除桌上的物件。您可以透過按鍵，也可以透過環境選單來執行動作。
Demonic,,Demonic,惡魔
Demote,,Demote,降級
Description,,Description,簡介
Dexterity Games,,Dexterity Games,動作體感遊戲
Diamonds,,Diamonds,鑽石
Dice,,Dice,骰子
Dice Games,,Dice Games,骰子遊戲
Die,,Die,骰子類遊戲
Diffuse-Image,,Diffuse/Image,漫反射／圖像
Digital,,Digital,數位物品
Digital Clock,,Digital Clock,電子鐘
Direct Connect,,Direct Connect,直接連線
Direction,,Direction,方向
Disable,,Disable,停用
Disable Interactions,,Disable Interactions,停用互動
Disable Unused,,Disable Unused,停用未使用的手牌區
Disable if you wish to control the dimensions of the grid independently.,,Disable if you wish to control the dimensions of the grid independently.,若想要單獨控制網格，請停用此項。
Disabled,,Disabled,停用
Disables interactions when it's not a color's turn.,,Disables interactions when it's not a color's turn.,不是特定顏色的回合時，停用互動。
Disconnected,,Disconnected,失去連線
Display Object Drop Position,,Display Object Drop Position,顯示物件放下的位置
Display VR Players,,Display VR Players,顯示 VR 玩家
Display the chat UI.,,Display the chat UI.,顯示聊天室介面。
Display the on screen notes on the right side of the screen.,,Display the on screen notes on the right side of the screen.,在螢幕右側顯示虛擬筆記。
Display the on-screen keyboard if you are playing in VR.,,Display the on-screen keyboard if you are playing in VR.,若使用 VR 遊玩，將顯示虛擬鍵盤。
Display the on-screen keyboard.,,Display the on-screen keyboard.,顯示虛擬鍵盤。
Display the player names on the top right.,,Display the player names on the top right.,在右上方顯示玩家名稱。
Display the top menu bar UI.,,Display the top menu bar UI.,顯示頂部選單列。
Display tools menu on the top left.,,Display tools menu on the top left.,在左上方顯示工具選單。
Distance,,Distance,距離
Do not show the on-screen keyboard.,,Do not show the on-screen keyboard.,不顯示虛擬鍵盤。
Do you want the puzzle image to be on the board as you are building the puzzle? This makes the puzzle easier.,,Do you want the puzzle image to be on the board as you are building the puzzle? This makes the puzzle easier.,是否想要將目前拼圖的原圖於桌面上顯示呢？這將讓拼圖更加容易。
Do you want the tiles to stack like poker chips?,,Do you want the tiles to stack like poker chips?,是否想要如撲克籌碼一樣堆疊磚塊牌呢？
Do you want the tokens to stack like poker chips?,,Do you want the tokens to stack like poker chips?,是否想要如撲克籌碼一樣堆疊標記物呢？
Do you want this token to stand up like a meeple instead of being flat like a tile?,,Do you want this token to stand up like a meeple instead of being flat like a tile?,是否想要讓標記物如米寶（一種用於桌遊的小木頭人）一樣立起，而非如磚塊牌一樣平放於桌面呢？
Documents,,Documents,文件
Does each card have a different card back? If so use the same template for the face cards as you do for the backs.,,Does each card have a different card back? If so use the same template for the face cards as you do for the backs.,每張卡片都是不同的卡背嗎？如果是的話，請在設計卡背時使用與卡面相同的範本。
Dominoes,,Dominoes,多米諾骨牌
Don't show servers that are full.,,Don't show servers that are full.,不顯示人數已滿的伺服器。
Don't show servers that have passwords.,,Don't show servers that have passwords.,不顯示需要密碼的伺服器。
Double-Click Container Pickup,,Double-Click Container Pickup,雙擊撿起容器
Down,,Down,下
Downloaded,,,下載時間
Downtown,,Downtown,市中心
Drag,,Drag,拖取
Drag Selectable,,Drag Selectable,拖取可選擇物件
Drag left or right to increase or decrease the value.,,Drag left or right to increase or decrease the value.,向左或右拖動以增加或減少數值。
Drag the colors around to determine the turn order. Custom turns must be active.,,Drag the colors around to determine the turn order. Custom turns must be active.,拖動顏色圓圈以更改回合順序。必須啟用自訂回合順序。
Drag your finger on the table or background.,,Drag your finger on the table or background.,拖動您的手指至桌面或背景。
Dragonide,,Dragonide,龍戰士
Draw,,Draw,抽牌
Drawing,,Drawing,繪畫
Drop,,Drop,放下
Drop Last Grabbed,,Drop Last Grabbed,放下最底部的物件
Dungeons,,Dungeons,地下城
Dynamic Friction,,Dynamic Friction,動摩擦
DynamicAmaranth,,DynamicAmaranth,DynamicAmaranth
DynamicAmaranthFixedNumerals,,DynamicAmaranthFixedNumerals,DynamicAmaranthFixedNumerals
DynamicInconsolata,,DynamicInconsolata,DynamicInconsolata
EASTWARD,,Eastward,向東
END TURN,,End Turn,結束回合
Edge,,Edge,邊緣
Edit,,Edit,編輯
Edit Note,,Edit Note,編輯筆記
Edit Tags,,Edit Tags,編輯標籤
Edit Tags...,,Edit Tags...,編輯標籤……
Edit tags on fog of war zone.,,Edit tags on fog of war zone.,編輯戰爭迷霧的標籤。
Edit tags on hand zone.,,Edit tags on hand zone.,編輯手牌區的標籤。
Edit tags on hidden zone.,,Edit tags on hidden zone.,編輯隱藏區的標籤。
Edit tags on layout zone.,,Edit tags on layout zone.,編輯佈置區的標籤。
Edit tags on randomize zone.,,Edit tags on randomize zone.,編輯隨機區的標籤。
Edit tags on scripting zone.,,Edit tags on scripting zone.,編輯腳本區的標籤。
Edit tags on selected components.,,Edit tags on selected components.,編輯已選取物件的標籤。
Edit tags on this snap point.,,Edit tags on this snap point.,編輯吸附點的標籤。
Edit tags snap points are created with.,,Edit tags snap points are created with.,編輯建立的吸附點標籤。
Empty Game,,Empty Game,空房間
Enable,,Enable,啟用
Enable collision between bodies connected with the joint.,,Enable collision between bodies connected with the joint.,啟用節點連接物體的碰撞。
Enable or disable card hands.,,Enable or disable card hands.,啟用或停用卡片手牌區。
Enhanced Base Precision,,Enhanced Base Precision,增強基本精準度
Enter,,Enter,↵ Enter
Enter Server Password,,Enter Server Password,輸入伺服器密碼
Enter name of player {0},,Enter name of player {0},輸入玩家名稱「{0}」
Enter value:,,Enter value:,輸入數值：
Equator,,Equator,中軸線
Erase,,Erase,抹除
Erase all drawn lines.,,Erase all drawn lines.,抹除所有直線。
Erase all drawn lines?,,Erase all drawn lines?,是否要抹除所有直線呢？
Erase entire pixel drawing.,,Erase entire pixel drawing.,抹除所有繪畫。
Error storing theme (this should never happen!).,,Error storing theme (this should never happen!).,主題儲存錯誤（通常不會出現！）。
Europe Proxy,,Europe Proxy,歐洲代理
Everyone except the hand owner can see in hand.,,Everyone except the hand owner can see in hand.,除了持有者外，所有人都能看到手牌內容。
Evil Watcher,,Evil Watcher,監視者
Exact,,Exact,自訂
Exit Game,,Exit Game,退出遊戲
Expand,,Expand,展開
Export,,Export,匯出
FACING_DOWN,,Become Face Down,轉為面朝下
FACING_KEEP,,Do Not Change,不要更改
FACING_TIPPED,,Group Is Tipped,整組翻面
FACING_UP,,Become Face Up,轉為面朝上
FIFO,,FIFO,FIFO
FIXED,,Fixed,固定
Face,,Face,正面
"Face picture must be in proper deck template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here. 4096x4096 recommended.",,"Face picture must be in proper deck template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here. 4096x4096 recommended.",卡面圖案必須滿足正確牌堆範本。範本可以在遊戲資料夾中查看。上傳圖片至網頁代管，然後將連結在此處複製貼上。建議使用 4096x4096。
Face-Down,,Face-Down,面朝下
Face-Up,,Face-Up,面朝上
Facing,,Facing,朝向
Family Games,,Family Games,家庭遊戲
Fast-forward Time,,Fast-forward Time,快轉時間
Field,,Field,田野
Field of View,,Field of View,可視範圍
Field of View of Fog of War revealed.,,Field of View of Fog of War revealed.,戰爭迷霧的可視範圍已顯示。
Figurine,,Figurine,塑像
Figurines,,Figurines,塑像
Filename,,Filename,檔案名稱
Filter by Tags:,,Filter by Tags:,根據標籤篩選：
Filtered Public Servers - All Public Servers,,Filtered Public Servers / All Public Servers,篩選公開伺服器／所有公開伺服器
Filters,,Filters,篩選
Find and join a server hosted by another player.,,Find and join a server hosted by another player.,搜尋並加入由其他玩家主持的伺服器。
First in first out or a queue.,,First in first out or a queue.,先手先入或佇列。
Fixed Joint,,Fixed Joint,固定節點
Flick,,Flick,輕彈
Flicking,,Flicking,輕彈
Flicks in air when thrown.,,Flicks in air when thrown.,拋擲時在空中輕彈。
Flip,,Flip,翻轉
Flip Other Axis,,Flip Other Axis,翻轉其他參考軸線
Flip the table,,Flip the table?,要翻桌嗎？
Floor,,Floor,地板
Floor Of Mist,,Floor Of Mist,地板迷霧
Fly Down,,Fly Down,降低
Fly Up,,Fly Up,昇高
Fly Up & Down,,Fly Up & Down,昇高／降低
Fog Height,,Fog Height,迷霧高度
Fog of War,,Fog of War,戰爭迷霧
Fog of War Tags,,Fog of War Tags,戰爭迷霧標籤
Folder Name,,Folder Name,資料夾名稱
Font Size,,Font Size,字型大小
Force,,Force,力
Forest,,Forest,森林
"Found {0} matching Custom Object(s), do you also want to update them to match?",,"Found {0} matching Custom Object(s), do you also want to update them to match?",找到「{0}」個符合的自訂物件，您是否要將它們更新以符合規則呢？
Free,,Free,鬆開
Free Camera,,Free Camera,自由視角
Freeze the object in place stopping all physics interactions.,,Freeze the object in place stopping all physics interactions.,鎖定物件並停用一切物理互動。
Fresnel Strength,,Fresnel Strength,菲涅爾強度
Friends,,Friends,好友
Friends Only,,Friends Only,僅限朋友
Front Image,,Front Image,正面圖案
Full,,Full,完整
Full Size Textures,,Full Size Textures,真實尺寸紋理
Fullscreen,,Fullscreen,全螢幕
GENERAL,,General,一般
GM (Black) players' pointer will be hidden in area.,,GM (Black) players' pointer will be hidden in area.,遊戲主持者（黑色）的游標會在區域內隱藏。
GM Notes (only visible to Black),,GM Notes (only visible to Black),遊戲主持者（僅對黑色可見）
GRAPHICS,,Graphics,圖像
Game,,Game,遊戲
Game Data,,Game Data,遊戲目錄
Game Keys,,Game Keys,遊戲鍵位
Game Name,,Game Name,遊戲名稱
Game Tags,,Game Tags,遊戲標籤
Game Types:,,Game Types:,遊戲類型：
Game Volume,,Game Volume,遊戲音量
Games,,Games,遊戲
Games Add To Context Menus,,Games Add To Context Menus,加入環境選單的遊戲
Games Can Show Controls UI,,Games Can Show Controls UI,遊戲可以顯示控制介面
Generic,,Generic,一般
Get current rotation.,,Get current rotation.,取得目前旋轉角度。
Ghoul,,Ghoul,食屍鬼
Giant Rat,,Giant Rat,巨鼠
Giant Viper,,Giant Viper,巨蛇
Gizmo,,Gizmo,調整工具
Gizmo Tool Size,,Gizmo Tool Size,調整工具尺寸
Glass,,Glass,玻璃
Global,,Global,全域
Globally controls all object snapping.,,Globally controls all object snapping.,全域控制所有物件吸附。
Glue,,Glue,膠水
Go,The game,Go,圍棋
Go back 10 seconds in time.,,Go back 10 seconds in time.,倒轉 10 秒。
Go back and forward in time to fix any mistakes.,,Go back and forward in time to fix any mistakes.,倒轉或快轉時間以修正錯誤。
Go back and forward in time to fix any mistakes. You can also use the arrows at the top menu to rewind and forward time.,,Go back and forward in time to fix any mistakes. You can also use the arrows at the top menu to rewind and forward time.,倒轉或快轉時間以修正錯誤。您也可以使用頂部選單的箭頭倒轉或快轉時間。
Go forward 10 seconds in time.,,Go forward 10 seconds in time.,快轉 10 秒。
Goblin,,Goblin,哥布林
Gold,,Gold,金幣
Gold 1000,,Gold 1000,金色籌碼 1000
Golem,,Golem,魔像
Good! Now time to add that card to the deck.,,Good! Now time to add that card to the deck.,太棒啦！現在把卡片加入牌堆吧！
Grab,,Grab,拿取
Grab - Selection,,Grab / Selection,拿取／選取
"Grab one of the objects, and then use (Pad Left) or (Pad Right) to rotate it.",,"Grab one of the objects,
and then use <Pad Left> or <Pad Right> to rotate it.",拿取任一物件，使用＜十字鍵左＞或＜十字鍵右＞進行選擇。
"Grab or mouse over one of the objects, and then use (Q) or (E) to rotate it.",,"Grab or mouse over one of the objects,
and then use <Q> or <E> to rotate it.","拿取或將游標停在任一物件上，
並使用＜Q＞或＜E＞進行旋轉。"
Grabbing Hides Gem,,Grabbing Hides Gem,拿取時隱藏提示
Gradient,,Gradient,漸層光照
Gradient Colors,,Gradient Colors,漸層光照顏色
Gravity,,Gravity,重力
Great camera work! Time to rotate an object.,,Great camera work! Time to rotate an object.,完美的鏡頭移動！是時候旋轉物件啦。
Great for checking a dice roll or reading a card.,,Great for checking a dice roll or reading a card.,查看骰子數字或閱讀卡片時非常有用。
Great shuffling! Now let's put a card in our hand. Drop a single card above the white name on the table. When a card is in your hand other players cannot see what it is.,,"Great shuffling! Now let's put a card in our hand.
Drop a single card above the white name on the table.
When a card is in your hand other players cannot see what it is.","完美洗牌！現在來將一張卡片放在手中吧。
將一張卡片拖取至桌子上白色名字的位置。
當卡片在您手中時，其他玩家無法看到此牌。"
Great stacking! Now pull one card from the deck.,,Great stacking! Now pull one card from the deck.,完美堆牌！現在從牌堆中抽出一張卡片。
Green,,Green,綠色
Green 50,,Green 50,綠色籌碼 50
Green Triangle,,Green Triangle,綠色三角積木
Grey,,Grey,灰色
Grey (All),,Grey (All),灰色（全部）
Grey (Spectator),,Grey (Spectator),灰色（旁觀者）
Greyout Visited,,Greyout Visited,灰化顯示
Grid,,Grid,網格
Grid Projection,,Grid Projection,網格投射
Grid Size,,Grid Size,網格尺寸
Grid lines are drawn on the surface of the table.,,Grid lines are drawn on the surface of the table.,格線已繪製在桌面。
Grid will be projected onto the table and any object that has grid projection turned on.,,Grid will be projected onto the table and any object that has grid projection turned on.,網格將投射在桌上以及任何已開啟網格投射的物件。
Griffon,,Griffon,獅鷲
Ground,,Ground,地面
Group,,Group,重組
Group Into Bag First,,,自動重組至收納袋
Grouping,,Grouping,重組
Groups,,Groups,分組
HINGE,,Hinge,鉸鏈
HOST COMMANDS,,Host Commands,房主指令
Hand Component Hotkey Draw,,Hand Component Hotkey Draw,手牌區配件可使用快速鍵拿取
Hand Minimized Size,,Hand Minimized Size,手牌預設大小
Hand View,,Hand View,手部視角
Hand View Angle,,Hand View Angle,手部視角角度
Hand View Scale,,Hand View Scale,手部視角大小
Hand Zone Tags,,Hand Zone Tags,手牌區標籤
Hands,,Hands,手牌區
Hands are areas near names on the table that can hold cards and dominoes.,,Hands are areas near names on the table that can hold cards and dominoes.,手牌區為靠近桌上玩家名稱的區域，可用於放置卡片以及多米諾骨牌。
Hands not used by a player will not be enabled.,,Hands not used by a player will not be enabled.,停用無玩家選擇的手牌區。
Hearts,,Hearts,心
Height,,Height,高度
Help,,Help,幫助
Help Menu,,Help Menu,幫助選單
Heroes,,Heroes,英雄
Hex,,Hex,六邊形
Hex (Rounded),,Hex (Rounded),圓角六邊形
Hex Horizontal,,Hex Horizontal,六邊形（垂直）
Hex Rotated,,Hex Rotated,六邊形（旋轉）
Hex Vertical,,Hex Vertical,六邊形（水平）
Hexagon,,Hexagon,六角桌
Hidden,,Hidden,隱藏區
Hidden Zone Hide Opacity,,Hidden Zone Hide Opacity,隱藏區的隱藏不透明度
Hidden Zone Show Opacity,,Hidden Zone Show Opacity,隱藏區的顯示不透明度
Hidden Zone Tags,,Hidden Zone Tags,隱藏區標籤
Hide Face Down,,Hide Face Down,面朝下時隱藏
Hide Full,,Hide Full,隱藏無空位
Hide GM Pointer,,Hide GM Pointer,隱藏遊戲主持者游標
Hide GUI,,Hide GUI,隱藏遊戲介面
Hide Hand,,Hide Hand,隱藏手牌區
Hide Locked,,Hide Locked,隱藏已鎖定
Hide Objects,,Hide Objects,隱藏物件
Hide Pointers,,Hide Pointers,隱藏游標
Hiding,,Hiding,隱藏
Hiding objects will be reversed so everyone but the color of the area can see inside.,,Hiding objects will be reversed so everyone but the color of the area can see inside.,反轉隱藏物件，區域顏色所屬的玩家無法看到，其餘玩家都可能看到。
High,,High,高
High Complexity,,High Complexity,高難度
Hinge Joint,,Hinge Joint,鉸鏈節點
Hold (Alt) while mousing over an object.,,Hold <Alt> while mousing over an object.,游標停在物件上時按住＜Alt＞。
Hold (Left Bumper) while hovering over an object.,,Hold <Left Bumper> while hovering over an object.,停在物件上時長按＜LB＞。
Hold ({0}) down for a few seconds.,,Hold <{0}> down for a few seconds.,按住＜{0}＞幾秒鐘。
Hold ({0}) on both controllers. Then move your hands closer or further apart. This will scale you up and down!,,"Hold <{0}> on both controllers.
Then move your hands closer or further apart.
This will scale you up and down!","按住控制器的兩個＜{0}＞。
接著拖近或拖遠您的手牌區。
此動作會將您放大縮小！"
Hold ({0}) then drag yourself around.,,Hold <{0}> then drag yourself around.,按住＜{0}＞並拖取您本身。
Hold an object then press (A) on another object.,,Hold an object then press <A> on another object.,拿取一個物件並在其他物件上按下＜A＞。
Hold an object then press (Right Mouse) or (T) on another object.,,Hold an object then press <Right Mouse> or <T> on another object.,拿取一個物件並在其他物件上按下＜滑鼠右鍵＞或＜T＞。
Hold down (Right Mouse Button) and move your mouse.,,Hold down <Right Mouse Button> and move your mouse.,按住＜滑鼠右鍵＞並移動滑鼠。
Hold right mouse button to rotate your camera.,,Hold right mouse button to rotate your camera.,按住＜滑鼠右鍵＞旋轉鏡頭。
Hold the key and nudge push objects with your pointer.,,Hold the <N> key and nudge/push objects with your pointer.,按住＜N＞並使用游標推動物件。
Hold the key and nudge-push objects with your pointer.,,Hold the key and nudge/push objects with your pointer.,按住按鍵並使用游標推動物件。
Holding the right mouse button will freely move your camera around.,,Holding the right mouse button will freely move your camera around.,按住＜滑鼠右鍵＞可以自由移動您的鏡頭。
Horizontal,,Horizontal,水平方向
Host,,Host,房主
Host Server,,Host Server,主伺服器
Host a game and have other players join you.,,Host a game and have other players join you.,主持一局遊戲並允許其他玩家加入。
Hotseat,,Hotseat,熱座模式
Hotseat: Ask For Names,,Hotseat: Ask For Names,熱座模式：設定玩家名稱
Hotseat: Confirm Turn Start,,Hotseat: Confirm Turn Start,熱座模式：確認回合開始
Hotseat: Delay Between Turns,,Hotseat: Delay Between Turns,熱座模式：回合間延時
Hotseat: Reset Camera On Turn,,Hotseat: Reset Camera On Turn,熱座模式：回合重設鏡頭
Hotseat: Show Turn Button,,Hotseat: Show Turn Button,熱座模式：顯示回合按鍵
Hover Highlight,,Hover Highlight,懸停標示
Hover Tooltips,,Hover Tooltips,懸停提示
"Hover or hold an RPG figurine and press 1, 2, or 3 to see the different actions. You can also activate these in the Contextual Menu.",,"Hover or hold an RPG figurine and press 1, 2, or 3 to see the different actions. You can also activate these in the Contextual Menu.",懸停或拿取一件 RPG 雕像，並按下 1、2 或 3 以查看不同的動作。您也可以在環境選單中執行這些動作。
Hover or hold an object and press L to lock in place. You can also do this in the Contextual Menu.,,Hover or hold an object and press L to lock in place. You can also do this in the Contextual Menu.,懸停或拿取一件物件，並按下 L 以鎖定至原處。您也可以在環境選單中執行此動作。
Hover or hold an object and press the R key to raise it continuously. This can also be used to quickly roll dice and shuffle cards.,,Hover or hold an object and press the R key to raise it continuously. This can also be used to quickly roll dice and shuffle cards.,懸停或拿取一件物件，並按下 R 以持續抬起物件。此動作也可以用於快速搖骰子和洗牌。
Hover over an object you wish to place beneath another and press the key. Great for layering objects under mats.,,Hover over an object you wish to place beneath another and press the key. Great for layering objects under mats.,懸停在您想要埋於另一物件底下的物件，並按下按鍵。您也可以在環境選單中執行此動作。對於大量物件的疊放大有幫助。
Hover over dice-decks & type a number to show-draw that amount.,,Hover over dice/decks & type a number to show/draw that amount.,懸停在骰子或牌堆上時，輸入數字以顯示或拿取同等數字的數值或牌堆。
Hover over each item in this help menu to bring up more info.,,Hover over each item in this help menu to bring up more info.,懸停在物品上時，可開啟幫助選單以取得更多資訊。
Hover over the die and press (Pad Right).,,Hover over the die and press <Pad Right>.,懸停在骰子上並按下＜十字鍵右＞。
Hovered Object,,Hovered Object,懸停的物件
"How accurate it will try to trace your image. Lower = more accurate & expensive, Higher = less accurate.",,"How accurate it will try to trace your image. Lower = more accurate & expensive, Higher = less accurate.",描繪圖像的精準度。較低代表更多精準度、較高代表更少精準度。
How bouncy is the surface? A value of 0 will not bounce. A value of 1 will bounce without any loss of energy.,,How bouncy is the surface? A value of 0 will not bounce. A value of 1 will bounce without any loss of energy.,表面的彈性如何呢？數值為 0 表示不會反彈。數值為 1 表示不計能量損耗的反彈。
How fast all objects fall (Default = 0.5).,,How fast all objects fall (Default = 0.5).,物件下墜的速度（預設為 0.5）
How high off the surface objects will be held.,,How high off the surface objects will be held.,拿取物件時的高度。
How many cards tall is your deck? Default template is 7.,,How many cards tall is your deck? Default template is 7.,牌堆的卡片寬度要設為多少呢？預設範本為 7。
How many cards wide is your deck? Default template is 10.,,How many cards wide is your deck? Default template is 10.,牌堆的卡片長度要設為多少呢？預設範本為 10。
"How mirror-like the object is. Higher = Mirror, Lower = Dull.",,"How mirror-like the object is. Higher = Mirror, Lower = Dull.",物件的鏡面程度。較高代表鏡面效果、較低代表霧面效果。
"How much air resistance affects the object when moving from forces. 0 means no air resistance, and infinity makes the object stop moving immediately.",,"How much air resistance affects the object when moving from forces. 0 means no air resistance, and infinity makes the object stop moving immediately.",移動時空氣阻力對物體的影響作用。0 表示沒有空氣阻力，無限會使物體立即停止移動。
How much air resistance affects the object when rotating from torque. 0 means no air resistance. Note that you cannot make the object stop rotating just by setting its Angular Drag to infinity.,,How much air resistance affects the object when rotating from torque. 0 means no air resistance. Note that you cannot make the object stop rotating just by setting its Angular Drag to infinity.,空氣阻力對扭力旋轉物體的影響作用。0 表示沒有空氣阻力。請注意將角度拖取設定為無限無法使物件停止旋轉。
How much physics you want in your games.,,How much physics you want in your games.,遊戲中物理效果的數量。
How strong reflections are on shiny objects.,,How strong reflections are on shiny objects.,發光物件的反射強度。
How strong the ambient or mood lighting is.,,How strong the ambient or mood lighting is.,環境和氛圍光照的強度。
Hue,,Hue,色相
Hydra,,Hydra,三頭蛇
IMPORT,,Import,匯入
INFO,,Info,資訊
INTERFACE,,Interface,介面
"If enabled, the object is affected by gravity.",,"If enabled, the object is affected by gravity.",若啟用，物件會受到重力影響。
If freeSpin is enabled the motor will only accelerate but never slow down.,,If freeSpin is enabled the motor will only accelerate but never slow down.,若啟用持續轉動，驅動力只會加速不會減速。
"If you need a bit more structure, then you can enable Turns so that everyone knows whose turn it is and when it s their own turn.",,"If you need a bit more structure, then you can enable Turns so that everyone knows whose turn it is and when it s their own turn.",若您需要井然有序一些，那麼可以啟用「回合」，這樣每位玩家可以知道目前是誰的回合以及何時輪到自己。
Ignore Fog Of War,,Ignore Fog Of War,無視戰爭迷霧
Image,,Image,圖像
Image On Board,,Image On Board,棋盤圖案
Image URL,,Image URL,圖像連結
"Image must be in proper dice template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here.",,"Image must be in proper dice template. Template can be found in the game folder. Upload your image to a web host, then copy paste the direct link here.",圖案必須滿足正確骰子範本。範本可以在遊戲資料夾中查看。上傳圖片至網頁代管，然後將連結在此處複製貼上。
Import-Export,,Import/Export,匯入／匯出
Improves texture quality at angles. Recommended on unless starved for performance.,,Improves texture quality at angles. Recommended on unless starved for performance.,改善邊緣的紋理品質。建議啟用，效能不足時可停用。
In-Game,,In-Game,遊戲中
Inch,,Inch,英吋
Inch Size,,Inch Size,英吋尺寸
Infinite,,Infinite,無限
Infinite Bag,,Infinite Bag,無限收納袋
Inserts a timestamp before each message.,,Inserts a timestamp before each message.,在每則訊息前加入時間戳。
Instant Refill,,Instant Refill,立即填充
InstantRefillTooltip,,"When enabled, if ever a group is picked up or removed the rest of the layout will trigger to fill in the gap.",啟用後，拿走或移除分組時，其餘分組會自動填充空缺。
Instead of using the last slot on face image for the hidden card the back image will be used.,,Instead of using the last slot on face image for the hidden card the back image will be used.,最後的卡槽的隱藏卡片使用卡背圖而非卡面圖。
Interface Click Threshold,,Interface Click Threshold,介面點擊閾值
Interface Repeat Duration,,Interface Repeat Duration,介面重複動作期間
Invert,,Invert,視角移動反轉
Inverts the camera look directions.,,Inverts the camera look directions.,反轉視角朝向之位置。
Invite,,Invite,私密
Invite Friends,,Invite Friends,邀請好友
Is your card sideways? This rotates ALT Zoom.,,Is your card sideways? This rotates ALT Zoom.,卡片橫置了嗎？使用 Alt 鍵縮放查看。
Is your deck sideways? This rotates ALT Zoom.,,Is your deck sideways? This rotates ALT Zoom.,牌堆橫置了嗎？使用 Alt 鍵縮放查看。
JIGSAW PUZZLES,,Jigsaw Puzzles,拼圖解謎
JOIN,,Join,加入
Jigsaw,,Jigsaw,拼圖
Join new Server Host?,,Join new Server Host?,要加入新伺服器嗎？
Joint,,Joint,節點
Joint that locks two objects in place without creating a parent child relationship like the Attach tool. Right click the jointed object and click Joint to bring up the new menu.,,Joint that locks two objects in place without creating a parent child relationship like the Attach tool. Right click the jointed object and click Joint to bring up the new menu.,連結特定位置的兩個鎖定物件，且不建立如附加工具一樣的父子關係。右鍵點擊連結的物件，接著點擊節點開啟新選單。
Joint that works just like it sounds a spring. Right click the jointed object and click Joint to bring up the new menu.,,Joint that works just like it sounds a spring. Right click the jointed object and click Joint to bring up the new menu.,如彈簧一樣連結。右鍵點擊連結的物件，接著點擊節點開啟新選單。
Joint with door hinge like connection. Can even have motors. Right click the jointed object and click Joint to bring up the new menu.,,Joint with door hinge like connection. Can even have motors. Right click the jointed object and click Joint to bring up the new menu.,如門片鉸鍊一樣連結。可以設定驅動。右鍵點擊連結的物件，接著點擊節點開啟新選單。
Joints,,Joints,節點
Joker,,Joker,鬼牌
Jokers,,Jokers,鬼牌
Joypad Emulation,,Joypad Emulation,控制器模擬器
Keyboard,,Keyboard,鍵盤
Keyboard Single Digit By Default,,,鍵盤預設輸入單一數字
Keyboard Single Digit Draw,,Keyboard Single Digit Draw,鍵盤輸入單一數字以抽牌
Kickstarter,,Kickstarter,Kickstarter
Kimi Kat,,,奇美凱
King,,King,國王
King Cast Iron,,King Cast Iron,鑄鐵國王
King Chrome,,King Chrome,鉻金屬國王
King Dark,,King Dark,深色國王
King Light,,King Light,淡色國王
King Supporters,,King Supporters,支持者限定國王
Knight,,Knight,騎士
Knight Cast Iron,,Knight Cast Iron,鑄鐵騎士
Knight Chrome,,Knight Chrome,鉻金屬騎士
Knight Dark,,Knight Dark,深色騎士
Knight Light,,Knight Light,淡色騎士
Knight Supporters,,Knight Supporters,支持者限定騎士
Knight of Knil,,,克尼爾騎士
Kobold,,Kobold,狗頭人
LAN,,LAN,局部區域網路
LANGUAGE_BROWSE_TOOLTIP,,Find community translation mods on the Workshop.,在工作坊搜尋社群翻譯模組。
LANGUAGE_EXPORT_TOOLTIP,,Export current translation as a .csv file so that you can mod and upload it to the Workshop.,將目前翻譯匯出為 .csv 檔案，您可以編輯並將其上傳至工作坊。
LANGUAGE_HELP,,Change your language to the provided translations or create and use community created translations.,更改您的語言至內建翻譯或建立及使用社群翻譯。
LANGUAGE_UPLOAD_TOOLTIP,,Upload the currently loaded translation to the Workshop.,上傳目前已載入的翻譯至工作坊。
LATEST DLC NOW AVAILABLE!,,Latest DLC Now Available!,最新的 DLC 已可用！
LEFT_THEN_DOWN,,Left / Down,向左／向下
LEFT_THEN_UP,,Left / Up,向左／向上
LIFO,,LIFO,後進先出法
LIGHTING,,Lighting,光照
LUT,,LUT,LUT
LUT Contribution,,LUT Contribution,LUT 強度
Label,,Label,標籤
Language,,Language,語言
Language Code,,EN,英文
Laser Activation Threshold,,Laser Activation Threshold,雷射啟用閾值
Laser Always On,,Laser Always On,雷射保持開啟
Laser Angled,,Laser Angled,雷射角度
Laser Beam Opacity,,Laser Beam Opacity,雷射波束不透明度
Laser Beam Thickness,,Laser Beam Thickness,雷射波束粗細
Laser Beam Visible,,Laser Beam Visible,雷射波束可見度
Laser Dot Size,,Laser Dot Size,雷射點尺寸
Last Played,,,最後遊玩
Last in last out or a reverse queue.,,Last in last out or a reverse queue.,後手後出或反轉佇列。
Layout,,Layout,佈置區
Layout Zone,,Layout Zone,佈置區
Layout Zone Tags,,Layout Zone Tags,佈置區標籤
